model,horizon,seed,test_mse,test_mae,best_val_loss,epochs_ran
lstm,90,2026,321983.34375,428.9257507324219,0.3524494877567998,21
lstm,90,2027,311544.09375,425.4967346191406,0.30006163169327094,21
lstm,90,2028,299824.6875,414.114013671875,0.27767647637261283,22
lstm,90,2029,302613.0,416.4811706542969,0.308646678532102,22
lstm,90,2030,277411.96875,404.1859130859375,0.27743352568198626,16
lstm,365,2026,557856.5625,622.1796264648438,0.4777848335161601,19
lstm,365,2027,540636.875,607.5684814453125,0.4741544540614298,21
lstm,365,2028,550054.3125,615.639404296875,0.4691059687366224,19
lstm,365,2029,572608.4375,631.4449462890625,0.47363172557255995,17
lstm,365,2030,564266.375,619.384765625,0.4781357856645976,23
transformer,90,2026,293798.84375,423.1366271972656,0.2821106522171586,18
transformer,90,2027,258198.09375,403.6469421386719,0.2638939437552244,14
transformer,90,2028,316942.75,455.1339416503906,0.28048619399836033,24
transformer,90,2029,280645.0,416.44659423828125,0.2887171898359134,14
transformer,90,2030,302012.03125,429.2846984863281,0.29562387662659945,55
transformer,365,2026,570517.1875,626.8375854492188,0.591889514661815,14
transformer,365,2027,449969.21875,547.3851928710938,0.6481972890357449,48
transformer,365,2028,404268.71875,514.3173217773438,0.6900069563356165,13
transformer,365,2029,508540.59375,594.023681640625,0.65551649119756,16
transformer,365,2030,454752.59375,557.3836059570312,0.6377464398945848,18
conv_transformer,90,2026,343968.96875,457.3599548339844,0.3491514417860243,13
conv_transformer,90,2027,410586.40625,509.1648864746094,0.3657321725853186,13
conv_transformer,90,2028,367464.625,470.334228515625,0.3275841889558015,13
conv_transformer,90,2029,352504.25,464.6180419921875,0.3044076173884388,13
conv_transformer,90,2030,368899.0,462.7565002441406,0.37835247526443544,18
conv_transformer,365,2026,462930.625,557.3474731445312,0.5968895481057364,35
conv_transformer,365,2027,385541.15625,498.5149230957031,0.6683630956362372,13
conv_transformer,365,2028,354245.5625,472.125732421875,0.6353090051102311,13
conv_transformer,365,2029,357760.59375,473.53277587890625,0.6207785828472817,13
conv_transformer,365,2030,405208.21875,513.6890258789062,0.6689870755966395,13
